,home,season_hits_for,season_hits_against,season_runs_for,season_runs_against,season_errors,season_wins,ml_odds,rl_odds,ml_win,rl_win
69,0,15,8,12,5,3,1,-130,125,1,1
70,0,22,14,14,4,0,2,-141,120,0,0
71,0,13,21,6,10,1,0,102,-215,0,0
72,1,22,23,9,12,2,1,113,-150,1,1
73,1,8,15,5,12,2,1,115,-145,0,0
74,0,23,22,12,9,3,2,-123,130,0,0
75,0,8,4,4,3,0,1,-190,-117,1,1
76,1,35,32,19,20,0,1,157,-101,0,0
77,1,19,12,7,4,0,2,-140,150,1,1
78,1,14,11,9,4,0,2,-126,160,1,1
79,0,20,7,15,1,1,2,-177,-119,1,1
80,0,24,24,10,9,1,2,101,-215,1,1
81,0,18,21,11,19,1,1,-103,-215,0,0
82,1,7,20,1,15,1,0,-144,155,1,0
83,0,34,11,25,0,1,3,110,-205,0,0
84,0,0,0,0,0,0,0,126,-175,1,1
85,0,12,19,4,7,0,0,125,-170,0,0
86,1,21,18,19,11,1,1,-107,185,1,1
87,1,24,24,9,10,2,1,-111,185,0,0
88,0,11,14,4,9,2,0,116,-190,0,0
89,1,0,0,0,0,0,0,-120,175,1,1
90,0,0,0,0,0,0,0,129,-175,0,0
91,1,0,0,0,0,0,0,-141,155,0,0
92,1,43,46,25,34,2,1,114,-150,1,1
93,1,12,16,4,7,3,0,149,-118,0,0
94,1,27,21,11,6,1,3,115,-150,1,1
95,0,21,14,12,9,1,1,140,-150,1,1
96,1,26,20,19,10,1,3,126,-133,0,0
97,0,0,0,0,0,0,0,-144,115,1,1
98,1,0,0,0,0,0,0,-155,116,0,0
99,0,34,15,29,7,1,3,-124,130,0,0
100,1,0,0,0,0,0,0,129,-135,0,0
101,1,0,0,0,0,0,0,-118,180,1,1
102,0,27,33,16,27,2,1,-111,145,0,0
103,1,12,13,4,5,0,1,-159,140,1,0
104,1,18,24,5,18,2,1,-127,165,0,0
105,0,47,28,31,12,2,3,-110,-215,0,0
106,1,23,28,8,17,3,1,101,-165,1,1
107,0,21,27,6,11,0,0,144,-160,0,0
108,1,0,0,0,0,0,0,-277,-119,1,1
109,0,0,0,0,0,0,0,108,-210,0,0
110,0,0,0,0,0,0,0,139,-155,1,1
111,0,20,26,10,19,3,0,237,-101,0,0
112,0,0,0,0,0,0,0,-141,113,1,0
113,0,0,0,0,0,0,0,140,-136,1,1
114,1,0,0,0,0,0,0,-154,135,0,0
115,1,17,13,12,6,0,1,100,185,1,0
116,0,17,30,7,15,4,0,-164,-102,1,1
117,0,0,0,0,0,0,0,-125,130,0,0
118,0,4,11,3,4,0,0,117,-185,1,1
119,1,0,0,0,0,0,0,-155,130,0,0
120,1,51,51,28,36,2,2,-105,190,0,0
121,1,17,27,8,14,3,0,115,-145,0,0
122,0,32,23,20,16,1,2,105,-185,1,1
123,1,32,28,24,16,4,3,112,-151,1,1
124,0,9,3,7,1,0,1,150,-150,0,0
125,1,9,18,6,13,0,0,-121,145,0,0
126,0,39,23,31,10,2,3,-105,-230,1,1
127,1,3,9,1,7,1,0,-170,130,1,1
128,1,13,3,4,0,0,1,-111,175,0,0
129,0,36,40,20,33,2,1,-155,110,1,1
130,1,21,19,8,8,0,2,-126,172,1,1
131,1,25,34,8,25,3,1,-119,185,0,0
132,0,56,30,33,15,2,3,-148,125,1,0
133,1,30,37,14,21,3,2,140,-130,0,0
134,0,27,36,9,15,1,0,116,-202,0,0
135,1,9,8,7,2,1,1,-153,145,0,0
136,0,3,13,0,4,0,0,101,-205,1,1
137,0,9,4,3,2,2,1,114,-200,1,1
138,0,28,35,12,26,4,0,138,-165,1,1
139,0,8,6,6,5,3,1,-122,131,0,0
140,0,18,9,13,6,0,1,111,-165,1,1
141,1,4,9,2,3,2,0,-124,170,0,0
142,1,19,22,15,8,0,2,133,-145,0,0
143,0,28,35,14,19,6,1,-130,125,1,1
144,0,14,18,10,7,0,1,109,-215,1,1
145,1,9,11,7,8,1,0,-115,165,0,0
146,1,55,61,30,40,3,2,185,110,0,0
147,1,21,41,10,26,6,0,143,-115,0,0
148,1,37,26,17,7,1,4,-105,-175,1,1
149,0,43,30,28,20,2,3,136,-155,0,0
150,1,40,38,29,17,5,4,110,-165,1,1
151,1,17,37,9,29,2,0,-140,145,1,1
152,0,49,27,35,12,2,4,-215,-130,1,1
153,0,45,48,26,37,2,2,-173,-105,0,0
154,1,31,26,15,8,0,3,-170,120,1,0
155,1,30,44,9,29,5,1,-125,163,1,1
156,0,66,35,36,17,2,4,130,-185,0,0
157,0,13,6,6,4,1,1,140,-160,0,0
158,1,38,46,18,27,5,2,153,-115,1,1
159,0,34,46,9,22,3,0,150,-140,0,0
160,1,12,16,7,3,1,1,-240,-116,0,0
161,0,20,9,9,3,2,2,148,-160,1,1
162,0,36,38,13,26,4,1,200,-104,1,1
163,0,18,14,7,10,4,1,-120,145,0,0
164,0,37,17,29,9,1,2,125,-165,0,0
165,1,9,20,3,9,2,0,-163,140,0,0
166,1,24,32,17,11,1,2,-145,165,1,1
167,0,42,39,26,21,9,2,-158,-105,1,1
168,0,5,10,1,6,0,0,-105,155,0,0
169,0,24,23,14,8,0,2,115,-183,0,0
170,1,16,22,11,16,2,0,-151,135,1,1
171,1,6,13,4,6,1,0,-155,140,1,1
172,0,0,0,0,0,0,0,203,-106,0,0
173,0,0,0,0,0,0,0,165,-115,1,1
174,1,0,0,0,0,0,0,-185,-105,0,0
175,0,0,0,0,0,0,0,165,-135,0,0
176,1,0,0,0,0,0,0,-185,115,1,1
177,0,34,28,16,10,2,3,-118,140,1,1
178,1,20,16,8,8,1,1,-161,125,0,0
179,1,0,0,0,0,0,0,-148,150,1,1
180,0,0,0,0,0,0,0,133,-170,0,0
181,0,0,0,0,0,0,0,129,-175,1,1
182,0,20,17,8,8,1,1,145,-155,1,1
183,0,0,0,0,0,0,0,157,-155,0,0
184,1,0,0,0,0,0,0,108,-160,0,0
185,1,16,25,9,8,1,1,-160,135,0,0
186,1,28,34,10,16,4,1,-144,155,0,0
187,1,0,0,0,0,0,0,-120,180,0,0
188,0,27,24,8,12,4,1,146,-145,1,1
189,0,45,26,32,15,1,2,110,-210,1,1
190,1,15,25,4,11,2,0,-175,115,0,0
191,1,0,0,0,0,0,0,-177,135,1,1
192,0,31,30,15,11,1,2,155,-135,1,1
193,1,17,20,8,8,1,1,-243,-114,1,1
194,0,0,0,0,0,0,0,126,-176,1,1
195,0,8,11,4,6,1,0,159,-130,0,0
196,0,9,11,9,7,2,1,137,-146,1,1
197,1,11,9,7,9,0,0,-152,126,0,0
198,0,16,13,10,8,3,1,-120,145,0,0
199,1,26,45,15,32,3,1,-116,160,0,0
200,1,26,33,12,15,1,1,-116,160,1,1
201,1,14,11,8,2,0,1,-125,160,0,0
202,0,11,14,2,8,0,0,115,-180,1,1
203,0,9,10,4,1,0,1,103,-205,1,1
204,1,0,0,0,0,0,0,-141,156,0,0
205,0,35,24,18,11,2,2,115,-210,1,1
206,1,23,40,12,18,1,1,-125,180,0,0
207,0,16,20,8,8,1,1,104,-200,1,1
208,1,38,43,11,20,4,1,-113,175,0,0
209,1,8,6,3,4,0,0,-102,-190,1,1
210,0,44,30,15,16,5,2,106,-190,0,0
211,0,51,34,36,18,1,3,-108,160,0,0
212,1,22,39,7,18,2,0,-126,170,0,0
213,0,28,23,17,8,0,2,106,-190,1,1
214,1,32,29,14,15,2,2,110,-165,1,1
215,0,45,37,22,14,1,3,116,-200,1,1
216,1,23,29,14,16,2,1,-114,170,0,0
217,1,28,28,14,12,1,2,-179,110,1,0
218,0,9,9,4,2,0,1,155,-150,0,0
219,0,14,19,5,8,1,0,126,-170,0,0
220,0,20,21,18,12,2,2,113,-185,0,0
221,1,21,20,12,18,0,0,-123,165,1,1
222,0,7,3,3,5,1,0,170,-130,0,0
223,0,21,18,11,13,3,1,-109,155,1,1
224,1,33,58,17,39,3,1,-105,-160,1,1
225,1,3,7,5,3,0,1,-200,110,1,1
226,0,43,34,20,11,2,4,-105,155,1,1
227,0,25,20,15,10,1,2,112,-200,1,1
228,1,21,18,10,5,0,1,-105,185,0,0
229,0,18,21,5,10,0,1,-105,-215,1,1
230,0,19,17,9,5,1,2,-107,150,1,1
231,1,9,9,2,4,1,0,-175,130,1,1
232,0,44,30,20,12,2,3,105,-215,0,0
233,0,6,19,1,10,1,0,130,-180,1,1
234,1,6,9,1,4,1,0,-105,-175,0,0
235,1,29,49,13,20,1,1,-115,185,1,0
236,0,23,23,11,10,2,2,116,-180,0,0
237,1,45,53,15,25,4,1,-103,-170,0,0
238,1,12,10,6,4,1,1,-115,180,1,0
239,1,30,17,15,7,3,3,-122,170,0,0
240,0,55,38,36,21,3,3,105,-210,0,0
241,1,26,51,7,26,2,0,-145,145,1,1
242,0,41,30,24,10,1,3,-105,140,0,0
243,1,19,6,10,1,0,1,-145,160,0,0
244,1,37,34,19,16,2,3,-101,-175,0,0
245,0,57,41,30,14,2,4,130,-165,0,0
246,1,26,36,16,19,3,1,-126,160,1,1
247,1,36,34,16,13,2,3,-141,150,1,1
248,0,14,16,5,5,3,1,116,-200,0,0
249,0,19,23,5,11,1,0,205,-115,0,0
250,0,29,29,20,16,2,2,117,-185,0,0
251,0,14,11,5,14,1,0,144,-160,0,0
252,0,26,23,15,14,3,2,128,-180,1,1
253,1,51,65,27,45,3,2,-108,170,1,1
254,1,11,14,14,5,0,2,-159,140,1,1
255,0,52,38,23,11,2,5,114,-200,1,1
256,0,35,24,22,13,1,3,133,-175,1,1
257,1,27,26,12,9,1,1,-123,170,0,0
258,0,26,27,9,12,1,2,113,-200,1,1
259,1,16,14,5,5,1,1,-126,170,1,1
260,0,15,25,7,14,2,1,170,-130,0,0
261,1,10,18,1,7,1,0,-124,170,0,0
262,0,31,33,13,17,3,2,128,-160,0,0
263,1,17,16,8,5,2,2,-115,185,1,1
264,1,34,27,18,14,3,3,-148,155,0,0
265,0,61,43,37,23,6,3,105,-215,0,0
266,0,48,48,30,20,2,3,-102,-200,0,0
267,1,25,15,14,7,2,1,-200,110,1,1
268,1,42,39,20,20,4,3,-143,160,0,0
269,1,15,29,10,21,2,1,-127,165,1,1
270,1,36,44,23,21,3,2,-143,140,1,1
271,1,40,39,19,13,2,4,-235,-105,1,1
272,0,20,24,7,10,4,1,-151,115,1,0
273,0,24,29,7,17,1,0,180,-119,1,1
274,0,38,39,23,22,2,2,-114,145,1,1
275,1,29,29,16,20,0,1,-119,165,1,1
276,0,20,22,6,22,3,0,165,-130,0,0
277,1,14,21,9,12,1,1,-119,170,0,0
278,0,32,35,20,19,1,2,200,-110,1,1
279,1,22,20,22,6,0,3,-240,-110,0,0
280,0,61,42,26,12,3,6,-109,155,1,0
281,0,44,38,29,17,3,4,175,-115,0,0
282,1,32,39,14,15,1,1,-205,-105,1,0
283,0,39,32,15,14,1,3,105,-215,1,1
284,0,30,20,14,6,2,3,-150,105,0,0
285,1,24,20,10,7,1,2,-161,145,1,1
286,1,20,25,10,15,3,0,-210,-101,0,0
287,0,16,36,7,21,2,1,125,-180,1,1
288,1,14,27,2,10,2,0,135,-125,1,1
289,0,13,12,5,4,1,1,109,-200,1,1
290,1,33,27,27,16,1,2,-142,150,0,0
291,1,48,64,16,30,4,1,-115,185,0,0
292,1,20,19,11,5,2,3,130,-135,0,0
293,1,48,36,22,21,4,3,-140,160,0,0
294,1,11,34,0,25,3,0,136,-135,0,0
295,0,29,15,21,10,3,2,127,-170,1,1
296,0,57,61,36,31,3,3,146,-165,0,0
297,1,36,16,21,7,2,2,-185,110,1,1
298,1,47,52,20,26,6,3,-101,-175,0,0
299,1,25,38,16,24,2,2,104,-165,0,0
300,0,29,32,15,14,3,2,109,-185,0,0
301,0,16,12,7,4,0,2,-145,115,1,1
302,0,28,32,10,12,5,2,-107,155,0,0
303,0,32,41,13,20,3,1,130,-170,1,1
304,0,51,45,34,27,3,3,-105,-205,0,0
305,1,38,32,21,23,0,2,-132,160,1,1
306,0,27,35,9,36,6,0,125,-185,1,1
307,1,28,35,14,18,2,1,112,-160,1,1
308,0,43,39,26,20,2,3,265,106,0,0
309,1,26,31,23,12,4,3,-315,-126,1,1
310,0,67,44,27,12,4,7,133,-170,0,0
311,0,49,43,29,18,4,4,117,-185,1,1
312,1,37,44,15,15,1,2,-127,165,0,0
313,0,51,37,19,16,2,4,129,-175,0,0
314,0,39,28,18,11,2,3,114,-185,0,0
315,1,33,25,17,10,2,3,-103,-185,0,0
316,1,32,33,13,21,3,0,-145,150,0,0
317,0,27,44,15,25,4,2,125,-175,0,0
318,1,22,36,7,14,3,1,-124,165,1,1
319,0,27,26,11,9,3,2,-122,140,0,0
320,1,39,39,28,23,2,2,112,-150,0,0
321,1,53,76,18,34,5,1,-144,155,1,1
322,1,24,35,12,14,3,3,176,100,0,0
323,1,56,47,26,29,5,3,-140,155,1,1
324,1,19,42,2,28,4,0,-103,-175,1,1
325,0,41,21,28,11,3,3,-122,130,1,0
326,0,62,70,39,38,6,3,-107,165,1,0
327,1,49,23,35,10,2,3,-140,165,0,0
328,1,49,58,20,27,6,3,-148,150,1,1
329,1,31,51,21,35,3,2,-105,175,1,1
330,0,32,41,18,19,4,2,117,-180,0,0
331,0,32,16,16,5,1,3,-206,-120,1,1
332,0,39,46,13,17,6,2,102,-230,1,1
333,0,42,49,19,24,3,2,117,-200,1,1
334,1,47,39,25,25,0,3,126,-135,0,0
335,0,42,45,18,44,8,1,157,-140,0,0
336,1,39,43,21,23,2,2,-159,135,0,0
337,0,50,47,28,26,3,3,200,-115,1,1
338,1,34,38,29,14,4,4,-230,-105,0,0
339,0,74,54,29,19,4,7,-109,164,0,0
340,0,64,51,34,21,4,5,111,-200,0,0
341,1,45,59,18,20,2,2,-121,170,1,0
342,0,60,47,22,21,3,4,-110,150,0,0
343,0,48,38,22,17,2,3,-108,150,0,0
344,1,38,33,20,14,2,3,-145,150,1,1
345,1,40,43,17,27,4,0,-127,170,0,0
346,0,30,52,15,30,4,2,115,-200,0,0
347,1,32,45,13,18,3,2,-102,-170,1,1
348,0,35,37,16,16,3,2,144,-155,1,1
349,1,49,49,30,26,3,2,-128,165,1,0
350,1,63,85,23,37,7,2,100,-170,1,1
351,1,31,43,13,22,4,3,135,-135,1,1
352,1,64,50,31,29,5,4,-125,170,1,1
353,1,33,53,7,31,6,1,-112,190,0,0
354,0,51,31,31,13,4,4,118,-185,0,0
355,0,70,75,43,41,6,4,130,-170,0,0
356,1,59,38,43,19,2,3,-177,120,1,0
357,1,59,65,27,29,6,4,-101,-185,1,1
358,0,39,50,20,23,4,2,-141,115,1,1
359,0,40,23,24,6,1,4,-150,115,0,0
360,0,50,52,20,20,8,3,130,-170,1,1
361,1,51,53,28,30,0,3,-105,-175,0,0
362,1,50,47,31,18,5,5,-127,165,0,0
363,0,55,50,30,26,3,4,117,-185,1,1
364,0,61,35,42,15,2,5,-114,140,1,1
365,1,13,16,8,10,2,1,-117,170,0,0
366,0,52,51,24,20,2,3,107,-200,1,1
367,1,47,50,22,33,5,0,-176,125,1,1
368,0,36,69,18,39,5,2,126,-170,0,0
369,1,45,49,16,20,4,3,-141,150,1,1
370,0,44,40,22,16,3,3,-171,-110,1,1
371,1,38,51,16,24,4,4,151,-110,0,0
372,1,36,42,26,17,1,3,-145,150,0,0
373,1,66,46,47,22,4,4,104,-160,0,0
374,0,53,54,25,26,5,3,-105,155,1,0
375,0,48,30,26,9,1,4,156,-145,0,0
376,0,66,65,29,27,8,4,108,-205,1,1
377,1,32,51,17,38,6,0,185,107,1,1
378,1,48,34,22,10,2,5,117,-138,0,0
379,1,58,61,31,34,1,3,102,-165,0,0
380,1,54,54,32,23,5,5,-112,174,1,0
381,1,42,52,21,29,4,2,-151,135,1,0
382,0,62,54,35,27,4,5,102,-204,0,0
383,0,70,40,47,15,2,6,107,-211,1,1
384,1,16,29,8,17,3,1,-114,170,1,1
385,0,72,60,38,26,5,5,148,-145,0,0
386,0,48,54,28,40,3,2,-103,-215,0,0
387,1,38,37,19,11,2,4,-163,125,1,1
388,0,65,54,31,20,2,4,104,-200,0,0
389,0,76,47,42,26,2,4,-215,-127,0,0
390,1,57,56,28,34,5,1,131,-130,0,0
391,0,42,83,22,46,6,2,157,-130,1,1
392,1,59,55,23,24,5,4,-177,110,0,0
393,0,54,47,27,18,3,4,-109,145,1,1
394,1,57,55,34,29,4,3,-164,130,0,0
395,0,25,15,11,4,3,3,149,-150,1,1
396,1,45,61,18,29,4,4,-101,-165,0,0
397,0,49,44,17,24,6,2,-154,100,0,0
398,1,39,64,10,38,6,1,139,-120,1,1
399,0,57,39,34,17,5,4,136,-155,0,0
400,1,49,58,33,26,1,3,-118,175,0,0
401,1,71,55,47,27,5,4,-117,183,0,0
402,0,13,21,4,11,0,0,-112,145,1,1
403,1,45,61,29,39,3,3,-107,185,1,1
404,0,61,61,29,29,5,4,-132,118,1,0
405,0,54,40,27,15,2,4,-146,110,1,1
406,0,74,71,32,27,8,5,130,-200,1,1
407,1,42,56,25,39,6,1,140,-120,0,0
408,1,55,42,25,14,3,5,-117,170,1,0
409,1,59,67,31,37,2,3,-105,-180,1,1
410,1,63,59,36,26,5,6,-127,170,1,0
411,1,52,58,24,31,4,3,-129,165,0,0
412,0,67,63,38,31,5,5,117,-200,0,0
413,0,75,47,49,16,2,7,106,-215,0,0
414,1,25,32,13,17,3,2,-154,140,1,0
415,0,82,69,44,34,5,5,117,-200,1,1
416,0,56,66,33,47,4,2,113,-185,0,0
417,1,47,47,27,17,3,5,-132,170,0,0
418,0,68,63,31,25,2,4,139,-160,0,0
419,0,81,57,43,34,5,4,-155,100,1,1
420,1,62,66,28,41,5,1,-102,-179,0,0
421,1,44,49,21,29,6,3,-140,155,1,1
422,0,45,53,12,26,4,0,125,-175,0,0
423,0,66,56,38,19,3,5,-160,100,0,0
424,1,65,66,36,32,4,3,-146,145,0,0
425,0,36,23,14,6,4,4,131,-165,1,1
426,1,54,73,19,40,5,4,145,-120,1,1
427,0,60,53,21,29,6,2,-109,155,0,0
428,1,48,75,15,42,8,2,-101,-175,1,1
429,0,63,49,36,20,5,4,119,-185,1,1
430,1,55,66,33,29,1,3,-145,170,0,0
431,1,78,60,48,29,5,4,-116,185,1,1
432,0,19,22,7,11,0,1,-105,160,0,0
433,1,57,69,36,44,3,4,-123,165,1,0
434,0,69,68,33,32,5,5,107,-200,0,0
435,0,64,45,34,15,2,5,-108,159,1,1
436,0,81,78,34,28,8,6,157,-150,1,1
437,1,49,66,28,44,8,1,250,125,0,0
438,1,64,51,29,17,3,6,113,-146,1,1
439,1,71,74,38,40,2,4,-155,140,0,0
440,1,72,67,42,31,5,7,170,-101,0,0
441,1,56,61,25,33,5,3,104,-165,0,0
442,0,80,56,52,21,3,7,-200,-119,1,1
443,1,30,36,15,18,4,3,-105,185,0,0
444,0,91,79,47,36,6,6,144,-150,0,0
445,0,63,72,34,49,6,2,-190,-120,0,0
446,1,57,56,29,20,3,5,-159,130,1,1
447,0,72,68,32,27,3,4,-105,-215,1,1
448,0,91,64,48,37,6,5,-290,-145,1,0
449,1,67,73,29,44,5,1,175,105,1,1
450,1,57,61,31,34,6,4,-105,180,0,0
451,0,57,66,17,36,5,0,-105,-210,1,1
452,1,71,77,38,37,5,3,-125,165,0,0
453,0,47,29,19,8,6,5,115,-185,1,1
454,0,68,65,23,37,6,2,-155,102,1,1
455,1,60,83,23,44,9,3,140,-122,0,0
456,0,66,53,38,21,6,5,-114,145,1,1
457,1,62,73,34,31,1,3,-177,130,0,0
458,0,26,34,10,18,0,1,140,-160,1,1
459,1,63,76,38,45,4,5,170,100,1,1
460,0,78,77,36,36,5,5,-123,126,0,0
461,0,71,50,37,16,2,6,-205,-125,0,0
462,1,63,73,33,47,3,2,-128,165,0,0
463,1,60,75,29,46,11,1,170,106,0,0
464,0,61,59,38,35,4,3,116,-180,0,0
465,0,50,37,28,23,3,3,129,-170,1,1
466,1,72,85,42,47,6,7,180,110,0,0
467,0,39,28,21,14,3,3,-105,-215,1,1
468,1,64,74,38,51,6,3,114,-145,1,1
469,0,98,56,68,21,3,8,-210,-130,1,1
470,1,35,42,17,21,4,3,-180,115,1,1
471,1,40,38,20,17,2,2,-105,185,0,0
472,1,54,67,23,24,3,3,-144,150,0,0
473,1,67,61,33,20,4,6,-131,160,1,1
474,1,37,51,12,30,5,2,-105,190,0,0
475,0,100,75,50,38,7,6,-124,125,0,0
476,0,51,37,21,14,2,3,150,-145,0,0
477,1,62,72,32,42,7,4,-128,170,0,0
478,0,68,71,25,37,5,1,148,-145,0,0
479,0,80,66,42,24,3,5,-200,-127,1,1
480,1,79,87,41,44,5,3,103,-165,1,1
481,0,57,37,26,11,7,6,110,-200,1,1
482,0,45,42,18,28,4,2,118,-200,1,1
483,0,79,70,34,38,6,3,118,-185,1,1
484,1,65,94,24,55,9,3,125,-150,1,1
485,0,81,61,48,28,7,6,-105,-230,1,1
486,1,65,83,36,37,2,3,-170,125,1,1
487,0,52,50,38,28,10,3,-140,130,0,0
488,0,41,49,22,26,3,2,-113,145,0,0
489,0,63,49,32,18,5,4,160,-135,0,0
490,1,44,47,27,23,3,3,-120,170,0,0
491,1,46,44,25,15,2,5,-163,125,1,1
492,1,78,86,40,55,4,2,100,-165,1,1
493,1,70,85,32,52,12,1,134,-135,0,0
494,0,66,67,40,39,4,3,109,-200,1,1
495,0,65,43,34,25,4,4,116,-170,0,0
496,1,77,94,43,55,7,7,154,-110,1,1
497,0,45,32,23,15,3,4,-116,140,1,1
498,1,73,82,45,56,7,4,107,-150,0,0
499,0,107,61,76,22,3,9,-174,-110,0,0
500,1,42,47,22,21,4,4,-142,150,1,0
501,1,44,44,21,19,2,2,106,-160,0,0
502,1,60,82,25,30,3,3,-131,150,1,1
503,1,75,66,37,22,4,7,-119,170,0,0
504,1,43,61,14,35,5,2,-112,185,1,1
505,0,108,84,55,45,7,6,-117,130,1,1
506,0,59,51,22,22,2,3,-119,145,0,0
507,1,68,82,34,47,7,4,-140,155,0,0
508,0,76,80,29,45,5,1,113,-200,0,0
509,0,90,76,48,27,4,6,-149,115,1,1
510,1,89,96,47,47,6,4,-163,140,1,0
511,0,71,45,34,16,7,7,160,-135,0,0
512,0,55,48,23,30,4,3,125,-175,1,1
513,0,92,85,42,45,7,4,-110,145,0,0
514,1,74,100,28,56,9,4,133,-130,0,0
515,0,91,67,53,30,7,7,102,-215,0,0
516,1,79,91,44,38,3,4,109,-165,1,1
517,0,58,59,39,32,11,3,-148,110,1,1
518,0,50,59,25,32,4,2,148,-160,0,0
519,0,68,56,32,23,6,4,127,-170,0,0
520,1,52,61,32,31,5,3,-180,115,1,1
521,1,55,52,33,19,3,6,-123,170,1,1
522,1,85,90,47,56,4,3,106,-165,0,0
523,1,80,100,34,60,13,1,150,-110,0,0
524,0,80,74,48,42,5,4,126,-175,0,0
525,0,74,55,37,33,4,4,-105,-210,1,1
526,1,92,101,56,60,8,8,151,-116,0,0
527,0,60,34,33,16,4,5,-171,-110,1,1
528,1,79,92,46,60,7,4,114,-140,0,0
529,0,114,76,81,35,5,9,-171,-104,1,1
530,1,53,54,26,24,5,5,-124,170,1,1
531,1,46,59,22,29,3,2,151,-110,0,0
532,1,72,91,33,33,4,4,-105,180,0,0
533,1,82,80,40,30,4,7,-141,155,1,1
534,1,50,67,18,37,5,3,-121,165,0,0
535,0,118,90,59,46,8,7,-124,120,1,1
536,0,67,64,24,29,2,3,-110,150,1,0
537,1,78,95,40,57,8,4,-101,-170,1,1
538,0,78,87,29,47,5,1,148,-155,0,0
539,0,105,86,56,29,4,7,-170,-110,1,0
540,1,96,102,50,49,6,5,-120,180,0,0
541,0,78,58,37,25,8,7,175,-125,0,0
542,0,68,58,33,36,4,4,-109,150,0,0
543,0,96,92,43,52,8,4,-116,145,1,1
544,1,79,116,30,67,9,4,135,-125,0,0
545,0,97,74,55,34,8,7,111,-185,1,1
546,1,92,99,51,40,4,5,100,-170,0,0
547,0,74,64,50,34,12,4,-150,105,1,1
548,0,56,66,27,35,6,2,110,-210,1,1
549,0,75,67,35,27,6,4,114,-200,0,0
550,1,65,68,41,34,5,4,-195,105,1,1
551,1,62,54,35,19,3,7,-163,135,1,0
